ahsap_dograma,aidat,alarm,ankastre_mutfak,arka_cephe,asansor,avrasya_tuneli_ne_yakin,bahceli,balkon,banyo_sayisi,barbeku,beyaz_esyali,bina_yasi,bogaz_koprulerine_yakin,brut_m2,bulundugu_kat,cadde_uzerinde,caddeye_yakin,cam_mozaik_kaplama,camasir_odasi,celik_kapi,deniz_ulasimina_yakin,denize_sifir,denize_yakin,depozito,dusakabin,duvar_kagidi,e_5_e_yakin,ebeveyn_banyolu,esya_durumu,fitness,giyinme_odasi,gomme_dolap,goruntulu_diafon,guvenlik,hali_kaplama,havaalanina_yakin,hazir_mutfak,hidrofor,hilton_banyo,il,isi_yalitim,isicam,jakuzi,jenerator,kablo_tv_uydu,kapali_balkon,kapici,kartonpiyer,kat_sayisi,kira_getirisi,klima,krediye_uygunluk,kullanim_durumu,laminant_mutfak,manzara,manzara_bogaz,manzara_deniz,manzara_doga,manzara_gol,manzara_sehir,marley,marmaraya_yakin,merkezde,mermer_zemin,metrobuse_yakin,metroya_yakin,minibus_dolmusa_yakin,mobilyali,mutfak_dogalgazi,net_m2,oda_sayisi,on_cephe,otobana_yakin,otopark_acik,otopark_kapali,oyun_parki,panel_kapi,panjur,parke,parke_laminant,parke_lamine,pvc_dograma,salon_sayisi,saten_alci,saten_boya,sauna,seramik_zemin,siding,site_icerisinde,somine,son_guncelleme_tarihi,spot_isik,su_deposu,takas,tapu_durumu,tem_e_yakin,tenis_kortu,teras,toplu_ulasima_yakin,tramvaya_yakin,vestiyer,yangin_merdiveni,yapinin_durumu,yerden_isitma,yuzme_havuzu,kuzey_cephe,guney_cephe,dogu_cephe,bati_cephe,fiyat
0,119.0,0,1,0,1,0,1,1,2,0,0,4,0,0,11,0,1,0,0,1,0,0,0,5542.0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,79,1,1,0,0,0,0,0,1,11,1500.0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,185,5,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,37,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,435000
0,119.0,0,0,0,0,0,1,0,2,0,0,29,0,100,0,0,1,0,0,1,1,0,1,5542.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,80,1,1,0,0,1,1,1,1,4,1500.0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,90,2,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,100,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,420000
0,50.0,0,0,0,0,0,0,0,1,0,0,25,0,85,3,0,0,0,0,0,0,1,1,5542.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,64,0,1,0,0,1,0,0,1,4,1500.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,75,2,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,44,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,649999
0,50.0,0,0,1,1,0,0,1,1,0,0,30,0,100,4,1,0,0,0,1,0,0,0,5542.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,56,1,1,0,0,0,0,0,0,7,1250.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,90,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,15,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,265000
0,100.0,0,0,0,1,0,1,0,3,1,0,25,0,320,4,0,1,0,0,1,1,0,1,5542.0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,80,1,1,0,0,1,1,1,1,4,3608.0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,95,4,1,0,0,1,1,0,0,1,0,0,1,2,1,1,0,1,0,0,0,111,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,845000
0,119.0,0,0,0,0,1,1,1,1,0,0,32,0,115,0,1,0,0,0,1,1,0,1,5542.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,80,1,1,0,0,1,0,1,1,4,3608.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,110,3,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,121,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1550000
0,119.0,1,0,0,1,0,1,1,1,0,0,0,0,105,3,1,1,0,0,1,0,0,0,5542.0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,80,1,1,0,0,1,0,0,1,9,3608.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,95,2,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,42,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,299000
1,40.0,0,0,0,0,0,0,1,2,0,0,21,0,135,1,1,1,0,0,1,0,0,0,5542.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,79,0,1,0,0,0,0,0,1,3,3608.0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,130,3,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,133,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,419000
0,119.0,0,1,0,1,1,0,1,3,0,0,21,0,160,3,0,1,0,0,1,1,0,1,5542.0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,80,1,1,0,1,1,0,1,1,7,3608.0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,130,3,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,78,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1795000
1,119.0,0,0,0,1,0,0,1,1,0,0,10,0,145,2,1,0,0,0,1,1,0,1,5542.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,0,0,1,1,0,0,4,1700.0,0,1,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,125,3,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,67,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,405000
